Sensor intialized
121,0.00,0.00,0.11,0.01
234,0.00,0.00,0.08,0.02
347,0.00,0.00,0.11,0.04
460,0.00,0.00,0.12,0.05
573,0.00,0.00,0.09,0.06
686,0.00,0.00,0.11,0.07
799,0.00,0.00,0.08,0.08
912,0.00,0.00,0.13,0.10
1025,0.00,0.00,0.11,0.11
1138,0.00,0.00,0.10,0.12
1251,0.00,0.00,0.13,0.13
1364,0.00,0.00,0.11,0.15
1477,0.00,0.00,0.14,0.16
1590,0.00,0.00,0.11,0.18
1703,0.00,0.00,0.08,0.18
1816,0.00,0.00,0.10,0.20
1929,0.00,0.00,0.10,0.21
2042,0.00,0.00,0.11,0.22
2155,0.00,0.00,0.10,0.23
2268,0.00,0.00,0.10,0.24
2381,0.00,0.00,0.12,0.26
2494,0.00,0.00,0.15,0.27
2607,0.00,0.00,0.12,0.29
2720,0.00,0.00,0.11,0.30
2833,0.00,0.00,0.12,0.31
2946,0.00,0.00,0.10,0.32
3059,0.00,0.00,0.08,0.33
3172,0.00,0.00,0.13,0.35
3286,0.00,0.00,0.11,0.36
3399,0.00,0.00,0.11,0.37
3512,0.00,0.00,0.11,0.39
3625,0.00,0.00,0.12,0.40
3738,0.00,0.00,0.12,0.41
3851,0.00,0.00,0.11,0.43
3964,0.00,0.00,0.13,0.44
4077,0.00,0.00,0.10,0.45
4190,0.00,0.00,0.13,0.47
4303,0.00,0.00,0.11,0.48
4416,0.00,0.00,0.11,0.49
4529,0.00,0.00,0.10,0.50
4642,0.00,0.00,0.09,0.51
4755,0.00,0.00,0.09,0.52
4868,0.00,0.00,0.13,0.54
4981,0.00,0.00,0.10,0.55
5094,0.00,0.00,0.11,0.56
5207,0.00,0.00,0.11,0.57
5320,0.00,0.00,0.09,0.58
5433,0.00,0.00,0.11,0.60
5547,0.00,0.00,0.13,0.61
5660,0.00,0.00,0.11,0.62
5773,0.00,0.00,0.11,0.64
5886,0.00,0.00,0.11,0.65
5999,0.00,0.00,0.10,0.66
6112,0.00,0.00,0.12,0.68
6225,0.00,0.00,0.13,0.69
6338,0.00,0.00,0.12,0.70
6451,0.00,0.00,0.11,0.72
6564,0.00,0.00,0.09,0.73
6677,0.00,0.00,0.11,0.74
6790,0.00,0.00,0.13,0.76
6903,0.00,0.00,0.12,0.77
7016,0.00,0.00,0.11,0.78
7129,0.00,0.00,0.11,0.79
7242,0.00,0.00,0.11,0.81
7355,0.00,0.00,0.13,0.82
7468,0.00,0.00,0.11,0.83
7581,0.00,0.00,0.11,0.85
7694,0.00,0.00,0.11,0.86
7808,0.00,0.00,0.15,0.88
7921,0.00,0.00,0.11,0.89
8034,0.00,0.00,0.09,0.90
8147,0.00,0.00,0.12,0.91
8260,0.00,0.00,0.11,0.93
8373,0.00,0.00,0.11,0.94
8486,0.00,0.00,0.11,0.95
8599,0.00,0.00,0.11,0.96
8712,0.00,0.00,0.09,0.97
8825,0.00,0.00,0.12,0.99
8938,0.00,0.00,0.10,1.00
9051,0.00,0.00,0.11,1.01
9164,0.00,0.00,0.11,1.02
9277,0.00,0.00,0.10,1.03
9390,0.00,0.00,0.11,1.05
9503,0.00,0.00,0.10,1.06
9616,0.00,0.00,0.11,1.07
9729,0.00,0.00,0.11,1.08
9842,0.00,0.00,0.12,1.10
9955,0.00,0.00,0.11,1.11
10068,0.00,0.00,0.12,1.12
10181,0.00,0.00,0.10,1.13
10294,0.00,0.00,0.10,1.15
10407,0.00,0.00,0.13,1.16
10520,0.00,0.00,0.11,1.17
10633,0.00,0.00,0.11,1.18
10746,0.00,0.00,0.12,1.20
10859,0.00,0.00,0.13,1.21
10972,0.00,0.00,0.14,1.23
11085,0.00,0.00,0.11,1.24
11198,0.00,0.00,0.10,1.25
11311,0.00,0.00,0.14,1.27
11424,0.00,0.00,0.11,1.28
11537,0.00,0.00,0.12,1.29
11650,0.00,0.00,0.12,1.31
11763,0.00,0.00,0.12,1.32
11876,0.00,0.00,0.10,1.33
11990,0.00,0.00,0.12,1.35
12103,0.00,0.00,0.11,1.36
12216,0.00,0.00,0.11,1.37
12329,0.00,0.00,0.14,1.39
12442,0.00,0.00,0.11,1.40
12555,0.00,0.00,0.12,1.41
12668,0.00,0.00,0.09,1.42
12781,0.00,0.00,0.13,1.44
12894,0.00,0.00,0.08,1.45
13007,0.00,0.00,0.09,1.46
13120,0.00,0.00,0.08,1.47
13233,0.00,0.00,0.08,1.48
13346,0.00,0.00,0.10,1.49
13459,0.00,0.00,0.11,1.50
13572,0.00,0.00,0.11,1.51
13685,0.00,0.00,0.11,1.52
13798,0.00,0.00,0.11,1.54
13911,0.00,0.00,0.12,1.55
14024,0.00,0.00,0.11,1.56
14137,0.00,0.00,0.12,1.58
14251,0.00,0.00,0.08,1.59
14364,0.00,0.00,0.12,1.60
14477,0.00,0.00,0.11,1.61
14590,0.00,0.00,0.11,1.63
14703,0.00,0.00,0.12,1.64
14816,0.00,0.00,0.11,1.65
14929,0.00,0.00,0.11,1.67
15042,0.00,0.00,0.11,1.68
15155,0.00,0.00,0.12,1.69
15268,0.00,0.00,0.14,1.71
15381,0.00,0.00,0.09,1.72
15494,0.00,0.00,0.11,1.73
15607,0.00,0.00,0.10,1.74
15720,0.00,0.00,0.03,1.74
15833,0.00,0.00,0.00,1.74
15946,0.00,0.00,0.08,1.75
16059,0.00,0.00,-0.05,1.75
16172,0.00,0.00,0.24,1.78
16285,0.00,0.00,0.05,1.78
16398,0.00,0.00,0.03,1.79
16512,3.00,0.00,-0.09,1.77
16625,2.00,1.00,-0.04,1.77
